topic,topic_distribution
266,"{'gradual': np.float64(0.9131301392422085), 'easy': np.float64(0.3609577507985689), 'slows': np.float64(0.15541372743946474), 'slight': np.float64(0.08907753645583454), 'softened': np.float64(0.046075953817211995), 'soft': np.float64(0.04093503263716556), 'pleased': np.float64(0.003993288256900479), 'eased': np.float64(0.0), 'relieved': np.float64(-1.7139327201982784e-17)}"
267,"{'head': np.float64(0.9762393763302446), 'east': np.float64(0.2026965779943449), 'nord': np.float64(0.06769808665615934), 'ewis': np.float64(0.02559867783808556), 'mid': np.float64(0.025148640674073176)}"
268,"{'sustainable': np.float64(0.8906340565940188), 'mev': np.float64(0.3829937242260072), 'mevs': np.float64(0.23988777511577375), 'rniv': np.float64(0.029763213879767658), 'sustainably': np.float64(0.028570115998794696), 'ev': np.float64(0.023674055299732537), 'ecovadis': np.float64(0.013323949927368475), 'euronext': np.float64(0.010027503365244494)}"
269,"{'objective': np.float64(0.9940334676654216), 'ethic': np.float64(0.10835063732699905), 'merton': np.float64(0.012280113846801102), 'ethically': np.float64(0.002158671147874459), 'kelleher': np.float64(0.0010088237751291937), 'weber': np.float64(0.0010088237751291916), 'gatekeeper': np.float64(0.0002939984449255239), 'edelman': np.float64(0.00014699922246276634)}"
270,"{'esg': np.float64(0.8064663957092685), 'erm': np.float64(0.5581078511622847), 'itx': np.float64(0.13560526086482463), 'tlof': np.float64(0.11902353902988061), 'edtf': np.float64(0.05457676639990379), 'etd': np.float64(0.03613125887865274), 'trm': np.float64(0.019449702855664507), 'ewi': np.float64(0.01827475437526417), 'nfrtt': np.float64(0.01755198646804845), 'esf': np.float64(0.010255545992974697), 'frtb': np.float64(0.009724851427832254), 'ltd': np.float64(0.005127772996487348), 'ejctig': np.float64(0.0051277729964873476), 'esef': np.float64(0.002792924720959878), 'ftes': np.float64(0.002762395634600881), 'taskforce': np.float64(2.4842642307362154e-17), 'fd': np.float64(-1.0661411135638585e-17)}"
271,"{'providing': np.float64(0.737165415022812), 'lesson': np.float64(0.6558485828434666), 'informs': np.float64(0.12521966513934324), 'informing': np.float64(0.10009820366522648), 'educating': np.float64(0.01915751987627282), 'upskilling': np.float64(0.016541429872979744), 'treating': np.float64(0.009100071138208205), 'knowing': np.float64(0.004311760781467838), 'motivating': np.float64(0.0028531239086515875)}"
272,"{'party': np.float64(0.9928846488526837), 'eir': np.float64(0.11023214227271502), 'republic': np.float64(0.036235789340928005), 'establishment': np.float64(0.01983740211318144), 'euribor': np.float64(0.01289682424054569), 'irb': np.float64(0.012198193999447018), 'eiopa': np.float64(0.002163165202902495), 'reg': np.float64(0.0015247742499308772), 'egeriis': np.float64(0.0003683995666926628), 'esr': np.float64(0.00036052753381711304)}"
273,"{'two': np.float64(0.8087227626115202), 'multiple': np.float64(0.3714626895735669), 'five': np.float64(0.2736826869045709), 'eight': np.float64(0.2088474858552628), 'twelve': np.float64(0.19715771982973557), 'ten': np.float64(0.1660751912210134), 'six': np.float64(0.13618663040719706), 'seven': np.float64(0.05983749460404142), 'enough': np.float64(0.027563508457839392), 'eighth': np.float64(0.011061431547515006), 'tripled': np.float64(0.0013763610216953625), 'nine': np.float64(0.00010417205233197788), 'twice': np.float64(0.00010417205233197788)}"
275,"{'leverage': np.float64(0.9810566815873047), 'volatility': np.float64(0.16914911774569394), 'electricity': np.float64(0.08142227539163482), 'force': np.float64(0.04455067837888393), 'elasticity': np.float64(0.012288482509843714), 'illiquidity': np.float64(0.01228848250984371)}"
276,"{'lre': np.float64(0.9794344553572734), 'embedding': np.float64(0.19756566477671988), 'leisure': np.float64(0.030335360583934722), 'literacy': np.float64(0.027490392113917836), 'elearning': np.float64(-0.0), 'mastering': np.float64(-3.327032542708076e-18)}"
277,"{'operation': np.float64(0.930318062542841), 'needed': np.float64(0.32365023639177926), 'error': np.float64(0.1488093568460993), 'prompt': np.float64(0.08638383371338522), 'rescue': np.float64(0.010723262425357684), 'emergency': np.float64(0.006119413457591841)}"
278,"{'mrel': np.float64(0.9776765778211234), 'emir': np.float64(0.2032088824188028), 'serf': np.float64(0.05333902237023442), 'remit': np.float64(0.0030996703349104792), 'emitting': np.float64(4.741395018936778e-06), 'managem': np.float64(5.9995735411667e-20)}"
279,"{'methodology': np.float64(0.9986957194009942), 'empirical': np.float64(0.0419259044248191), 'methodological': np.float64(0.02150258107294001), 'experiencing': np.float64(0.01636615207862091), 'practicable': np.float64(0.010902598847679508)}"
280,"{'ransomware': np.float64(0.7473423402952989), 'signature': np.float64(0.4698294511851859), 'encryption': np.float64(0.4698294511851858), 'zip': np.float64(2.0165993523225987e-16), 'secrecy': np.float64(-5.795574027193508e-19), 'unlocking': np.float64(-2.1017399537655243e-17)}"
281,"{'recourse': np.float64(0.9633501165318309), 'unfunded': np.float64(0.19945317360859563), 'impose': np.float64(0.13299964908503067), 'encumbrance': np.float64(0.1057590035931838), 'impediment': np.float64(0.043601739600254236), 'inaccessibility': np.float64(0.03741656480269572), 'uncollectible': np.float64(-4.526815826881625e-19), 'incurs': np.float64(-1.2404927610120645e-18)}"
282,"{'maintaining': np.float64(0.9650594520827493), 'withstand': np.float64(0.15645300223109126), 'resilient': np.float64(0.1342657273483904), 'permanently': np.float64(0.11007053589688909), 'perpetual': np.float64(0.11007053589688907), 'persistently': np.float64(0.031233222772170395), 'permanent': np.float64(0.023434287257305515), 'survive': np.float64(0.011672851814192075), 'sustain': np.float64(0.011049874794175263), 'relentless': np.float64(0.008418709598386136), 'enduring': np.float64(0.008374400077126701), 'undeterred': np.float64(0.0005833340232753426)}"
284,"{'input': np.float64(0.9806053235870723), 'executing': np.float64(0.15328872095209495), 'enters': np.float64(0.08733799641052453), 'entering': np.float64(0.08536852751826494), 'navigating': np.float64(0.0002372212530959475)}"
289,"{'stated': np.float64(0.7856897026013444), 'sii': np.float64(0.6186196090122862), 'sek': np.float64(0.0011764639730755335), 'esate': np.float64(0.00029411599326887883), 'se': np.float64(2.498001805406602e-16), 'sit': np.float64(6.552203143857748e-25)}"
290,"{'tenor': np.float64(0.8683219465979036), 'fvoci': np.float64(0.405450116337878), 'translated': np.float64(0.20497090464576986), 'latin': np.float64(0.1856136117652813), 'spe': np.float64(0.06537943720742852), 'language': np.float64(0.029771305699102815), 'peo': np.float64(0.0009171750943913644), 'esperanto': np.float64(0.00027005819324357413), 'norwegian': np.float64(2.951271575499598e-19), 'prospera': np.float64(-5.6367480385168986e-18)}"
291,"{'established': np.float64(0.9945320950631595), 'maintained': np.float64(0.09577126962556103), 'settled': np.float64(0.03694534362864777), 'reestablishing': np.float64(0.013990097602100354), 'founding': np.float64(0.011917586811297792), 'fostered': np.float64(0.00557365960848058)}"
293,"{'eu': np.float64(0.9651843528307139), '¹': np.float64(0.25603588793329646), 'ig': np.float64(0.05256121319826268), '¹¹': np.float64(0.01006851975513774), 'owe': np.float64(0.0007140477711131413), 'pqp': np.float64(0.00035702388555657066), 'na': np.float64(0.00017851193972652483), 'www': np.float64(0.00017851193972652483), 'really': np.float64(0.0001784789389992356)}"
294,"{'européenne': np.float64(0.7057773471772459), 'économiques': np.float64(0.7057773471772457), 'paris': np.float64(0.06124494281704383), 'industrialized': np.float64(0.002393616977544045), 'gdpr': np.float64(0.0)}"
295,"{'potentially': np.float64(0.7260115346209015), 'subsequent': np.float64(0.6704407644965396), 'eventually': np.float64(0.1208153196838812), 'increasingly': np.float64(0.07886001145677068), 'ultimately': np.float64(0.05100097644285236), 'tomorrow': np.float64(0.00030070466352802484)}"
296,"{'external': np.float64(0.9969642189152744), 'ex': np.float64(0.054036848211140354), 'pro': np.float64(0.042446861927599326), 'excl': np.float64(0.031332695718602234), 'x': np.float64(0.013749544704673761), 'expose': np.float64(0.007745694395244585), 'iss': np.float64(0.007280559899742366), 'qx': np.float64(0.006226065315141282), 'inv': np.float64(0.00417486214228137), 'excellent': np.float64(0.000803525138522887)}"
297,"{'exceeding': np.float64(0.749489796645952), 'outlier': np.float64(0.5942853372751797), 'exceeds': np.float64(0.24539035581606772), 'overstatement': np.float64(0.11493957285188897), 'extraordinary': np.float64(0.07042944505940989), 'overrun': np.float64(0.0654111967553091), 'outperformed': np.float64(0.03942332082212037), 'outperform': np.float64(0.025987875933188704), 'overlapping': np.float64(0.008895271371723442), 'supersede': np.float64(0.008895271371723442), 'reaching': np.float64(0.005930773766061173), 'surpassing': np.float64(0.0007248399179680999)}"
299,"{'known': np.float64(0.8530521225891452), 'seen': np.float64(0.4860134106357083), 'resides': np.float64(0.18350594156834438), 'existed': np.float64(0.04770881011832042), 'operated': np.float64(0.008440369500478741), 'suffered': np.float64(0.008440369500478738)}"
301,"{'exposure': np.float64(0.9999962946385642), 'explore': np.float64(0.0019083613711272651), 'invasion': np.float64(0.0018841519843788106), 'exploration': np.float64(0.00046776697470286106), 'journey': np.float64(5.601468318222278e-06), 'pioneer': np.float64(2.0878063677022664e-11)}"
303,"{'result': np.float64(0.9718537261397548), 'source': np.float64(0.2193437295954368), 'filter': np.float64(0.08177769215079178), 'remove': np.float64(0.01605145640276445), 'sampling': np.float64(0.012942062019623302), 'translate': np.float64(0.012942062019623302), 'obtains': np.float64(0.009832667636482155), 'extract': np.float64(0.0034200104312668107), 'sample': np.float64(0.00022655339317177465)}"
306,"{'financial': np.float64(0.9999838160300725), 'rounding': np.float64(0.004019566676114422), 'factoring': np.float64(0.004012021612473436), 'solve': np.float64(0.00032933600955646066), 'ﬁnding': np.float64(7.734367690386321e-05)}"
307,"{'outcome': np.float64(0.9225068830065501), 'failed': np.float64(0.36779855022660707), 'unsuccessful': np.float64(0.10063351188366106), 'invalid': np.float64(0.05705909493202618), 'fell': np.float64(0.01795642582042023)}"
308,"{'third': np.float64(0.9797966900988841), 'fourth': np.float64(0.19884969269565045), 'secondly': np.float64(0.014240929964876747), 'ﬁ': np.float64(0.014181666494187287), 'fifth': np.float64(0.0071854141466434355), 'sixth': np.float64(0.0012205800009350335), 'ﬁrst': np.float64(0.00044949227249671244)}"
309,"{'medium': np.float64(0.8471502579183796), 'small': np.float64(0.5014755365775805), 'granularity': np.float64(0.12455644983992314), 'fine': np.float64(0.06486902658848631), 'tone': np.float64(0.06413542209540483), 'refined': np.float64(0.05611207266821522), 'flat': np.float64(0.05447661030684159), 'smooth': np.float64(0.03011326582728204)}"
311,"{'ifrs': np.float64(0.9687475525094795), 'nfrm': np.float64(0.22786710801175855), 'fishing': np.float64(0.09212212838947398), 'fli': np.float64(0.033229396607089866), 'fis': np.float64(0.003513859240445967), 'sifi': np.float64(0.0012103411709018267), 'sifis': np.float64(0.0005187705284359767)}"
313,"{'lod': np.float64(0.9962170342358101), 'swing': np.float64(0.045306869104090396), 'pool': np.float64(0.041664492376118197), 'rolling': np.float64(0.03819159729298945), 'standing': np.float64(0.03051885783707688), 'floor': np.float64(0.029322372021361787), 'floating': np.float64(0.022653434552045187), 'soaring': np.float64(-3.1834845060641393e-20)}"
315,"{'sign': np.float64(0.8470211686014079), 'lifecycle': np.float64(0.4986175540214074), 'footprint': np.float64(0.13590486593797188), 'tail': np.float64(0.10615471743606616), 'surface': np.float64(0.055801540216657564), 'tracked': np.float64(0.032634226367663714), 'imprint': np.float64(0.0030962042770885656), 'tracking': np.float64(0.002529871446878822), 'stepping': np.float64(0.001388089202517487)}"
323,"{'funding': np.float64(0.9983495147318967), 'steering': np.float64(0.045727912143377285), 'provisioning': np.float64(0.034744397621125196), 'harnessing': np.float64(0.0001645818004963579), 'fuelling': np.float64(6.171817518613869e-05), 'powering': np.float64(2.0572725062046395e-05)}"
326,"{'gdp': np.float64(0.9999705533752816), 'glasgow': np.float64(0.0076741372370621895), 'genai': np.float64(1.2675973394835929e-17), 'tally': np.float64(2.5256136116881968e-18), 'gail': np.float64(-0.0), 'gp': np.float64(-1.7918290694474904e-18)}"
327,"{'replicating': np.float64(0.9484760561719039), 'iterative': np.float64(0.3159613082130646), 'produced': np.float64(0.023698577613010165), 'generative': np.float64(-0.0), 'promoter': np.float64(-5.551115123125783e-16)}"
328,"{'governance': np.float64(0.9994472414413028), 'geography': np.float64(0.026648524492533156), 'philosophy': np.float64(0.015026423341287221), 'geospatial': np.float64(0.012763444672433686), 'reality': np.float64(0.0022156688919571415), 'surveying': np.float64(0.001007248862427426), 'science': np.float64(0.0006108941865688289), 'geopolitics': np.float64(0.0002680835436562612)}"
329,"{'glance': np.float64(0.9999377744842487), 'vision': np.float64(0.011140634088943148), 'guide': np.float64(0.0005271207955085729), 'visually': np.float64(0.00023568569613543336), 'sight': np.float64(5.244401650875557e-06)}"
332,"{'qualifying': np.float64(0.9779542263045272), 'grandfathering': np.float64(0.17085835425965193), 'seniority': np.float64(0.11051541084524256), 'redetermination': np.float64(0.034851029211530125), 'upgrading': np.float64(0.03137998982474035)}"
333,"{'household': np.float64(0.995485004742249), 'hotspot': np.float64(0.06699437481396615), 'plant': np.float64(0.06699437481396614), 'greenhouse': np.float64(0.004614946922671708), 'heater': np.float64(0.0034373077832766663)}"
335,"{'rm': np.float64(0.6569144967890145), 'hand': np.float64(0.649357283143602), 'hit': np.float64(0.36925555150428196), 'hire': np.float64(0.07165855555511051), 'kles': np.float64(0.06859685409992809), 'wemmer': np.float64(0.023695007162039317), 'hamers': np.float64(0.006123402910364625), 'men': np.float64(0.0030617014551822426)}"
